,code_id,period_id,timestamp,end_timestamp,code,Half,00. Start Phase,02. Situation Type,03. Outcomes,04. Rating,Time Period,01. Phase,<flag>New Flag
0,1,1,0.0,2821.5853191551373,KO,1st Half,,,,,,,
1,2,1,1.2988237197894108,9.663956621335714,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
2,3,1,2.6354338290104806,12.463638163002301,D1 Counterpress,1st Half,,After O2 build-up,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
3,4,1,10.065410621002641,34.39668403766906,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
4,5,1,32.73069199600231,55.43055903833617,O3 Break Through,1st Half,O3 Break Through,D3 High Press on Opp. Half,Keep The Ball,Neutral,0 - 15 min,Transition,
5,6,1,34.664451829669375,50.86244620500257,D3 High Pressing,1st Half,,D3 Press on Throw-In,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,
6,7,1,53.263540704335824,68.69748770433593,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
7,8,1,71.46443266266913,86.69720562166874,D3 High Pressing,1st Half,,D3 Press on Throw-In,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
8,9,1,89.03053091300218,106.26416408000206,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
9,10,1,97.99686170533606,110.89849812166891,D2 Finding Balance,1st Half,,After Ball Loss,Establishing Pressing,Neutral,0 - 15 min,,
10,11,1,104.39714058000258,111.63062053766897,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,0 - 15 min,,
11,12,1,115.8302429966691,130.63236424600268,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,0 - 15 min,,
12,13,1,128.39806132933563,139.33098191300235,D3 High Pressing,1st Half,,D3 From Low/Med to High,Stay In Phase,Neutral,0 - 15 min,,
13,14,1,137.2972265380027,150.23064907966926,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
14,15,1,165.2888042463356,177.59679837100254,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Stay In Phase,Neutral,0 - 15 min,,
15,16,1,175.36448470500255,184.6870812046689,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
16,17,1,188.09966162133588,204.63026174600247,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
17,18,1,202.76335324600245,213.3977044133357,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,0 - 15 min,,
18,19,1,203.26657570433593,226.3626552876695,O3 Break Through,1st Half,O3 Break Through,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
19,20,1,207.1999748710026,229.76237328800255,O4 Finishing,1st Half,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
20,21,1,211.09823270433543,221.03199649633564,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Progress to Next Phase,Successful,0 - 15 min,,
21,22,1,216.830787371336,239.70013270433606,O3 Break Through,1st Half,O3 Break Through,D3 High Press on Opp. Half,Keep The Ball,Neutral,0 - 15 min,Transition,
22,23,1,228.16674828766924,235.82972133000237,D3 High Pressing,1st Half,,After Ball Loss,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,
23,24,1,235.7636889550023,261.2999816630025,O3 Break Through,1st Half,O3 Break Through,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
24,25,1,240.03361582966926,254.16522312100267,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,0 - 15 min,,
25,26,1,247.69875712133597,302.26312337100256,O4 Finishing,1st Half,O4 Finishing,Front Area,Open Chance,Successful,0 - 15 min,Corner Kick,
26,27,1,274.9106230268727,301.90954710556696,off corner,1st Half,,,,,,,True
27,28,1,315.93222253766896,334.9297752466692,D3 High Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,0 - 15 min,,
28,29,1,332.8313723713358,371.79840812166873,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,Stay In Phase,Neutral,0 - 15 min,,
29,30,1,370.33393499633587,411.99911483000227,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
30,31,1,410.16798528800217,440.7668022466689,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,0 - 15 min,,
31,32,1,422.45562986339206,450.33301074666895,O3 Break Through,1st Half,O3 Break Through,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,True
32,33,1,430.9649469130024,453.7984570800024,O4 Finishing,1st Half,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
33,34,1,457.599785537669,518.0998154133358,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
34,35,1,516.8657604550024,540.8334509963357,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,0 - 15 min,,
35,36,1,521.7986237880025,546.5982862463356,O3 Break Through,1st Half,O3 Break Through,Wide Link Up Play,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Established Play,
36,37,1,522.1784497562452,582.506988167,Bench,,,,,,,,True
37,38,1,533.931826121336,559.5662975800022,O3 Break Through,1st Half,O3 Break Through,Transition After CP,Keep The Ball,Neutral,0 - 15 min,Transition,
38,39,1,540.4005128716693,553.1021659133359,D1 Counterpress,1st Half,,After O3/O4,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,
39,40,1,542.8349240380024,567.6335632876688,O3 Break Through,1st Half,O3 Break Through,Wide Link Up Play,Keep The Ball,Neutral,0 - 15 min,Established Play,
40,41,1,559.9993070793357,584.365300079336,O3 Break Through,1st Half,O3 Break Through,Central Play Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
41,42,1,565.0690315380027,587.4351349966691,O4 Finishing,1st Half,O4 Finishing,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
42,43,1,565.5336843300022,579.2999696630025,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Progress to Next Phase,Successful,0 - 15 min,,
43,44,1,582.497828830002,623.7350962050022,O4 Finishing,1st Half,O4 Finishing,Back Area,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Corner Kick,
44,45,1,605.2689349546691,622.2689349546691,off corner,1st Half,,,,,,,
45,46,1,624.9675482880027,630.4007742043358,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,0 - 15 min,,
46,47,1,635.0341103716692,656.1683684126692,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,0 - 15 min,,
47,48,1,654.3691970800029,677.5001389550025,D3 High Pressing,1st Half,,D3 From Low/Med to High,Stay In Phase,Neutral,0 - 15 min,,
48,49,1,668.5337743716692,686.9998317466691,D2 Finding Balance,1st Half,,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,0 - 15 min,,
49,50,1,671.8338059960024,690.7663281213358,D4 Defending the Box,1st Half,,1v1,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
50,51,1,703.5344730796693,714.5344730796693,def throw,1st Half,,D3 Press on Throw-In,,,,,
51,52,1,707.702873996336,718.8673857463361,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
52,53,1,730.6699028716691,749.9674186630025,O1 Play from the Back,1st Half,O1 Play from the Back,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,0 - 15 min,,
53,54,1,753.8349948716693,772.4675272883358,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,True
54,55,1,763.6345630383361,782.4673069966692,D2 Finding Balance,1st Half,,After Ball Loss,Establishing Pressing,Neutral,0 - 15 min,,
55,56,1,780.5012740800025,786.3347311630021,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,0 - 15 min,,
56,57,1,796.9009954966691,807.9009954966691,def throw,1st Half,,D3 Press on Throw-In,,,,,
57,58,1,798.8370129550026,819.2015692050024,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,0 - 15 min,,
58,59,1,827.8007220793356,835.8009642883358,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
59,60,1,845.1338459126692,862.1038484543358,O1 Play from the Back,1st Half,O1 Play from the Back,O1 Throw-In,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
60,61,1,861.8017931626691,897.402887121669,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,0 - 15 min,,
61,62,1,895.4999075793355,920.3690778713358,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,16 - 30 min,,
62,63,1,905.467634204336,924.9676868710023,D4 Defending the Box,1st Half,,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,16 - 30 min,Established Play,
63,64,1,923.2676446216694,963.9020156626691,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,16 - 30 min,,
64,65,1,931.6099965294264,968.2932850125458,D4 Defending the Box,1st Half,,Square Pass,"Cross, Shot, Set-Piece or Box Entry",Neutral,16 - 30 min,Established Play,True
65,66,1,969.2364819550023,979.202803412669,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Ball Loss --> D3 Press,Unsuccessful,16 - 30 min,,
66,67,1,970.4360951633355,983.7708998300025,D2 Finding Balance,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,16 - 30 min,,
67,68,1,981.8047844966691,995.3041004960021,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Stay In Phase,Neutral,16 - 30 min,,
68,69,1,993.4020229133355,1035.4353206216695,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,16 - 30 min,,
69,70,1,1025.7715694130022,1044.6701862883358,D4 Defending the Box,1st Half,,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,16 - 30 min,Established Play,
70,71,1,1033.9027584543358,1040.5024364960025,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,16 - 30 min,,
71,72,1,1042.3022790376692,1066.2037020800024,O3 Break Through,1st Half,O3 Break Through,Early Through Pass or Cross,Ball Loss --> D3 Press,Unsuccessful,16 - 30 min,Established Play,
72,73,1,1042.7383815800029,1048.5028024133355,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,16 - 30 min,,
73,74,1,1046.8021506633356,1061.4028300793354,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Progress to Next Phase,Successful,16 - 30 min,,
74,75,1,1068.7700213713354,1100.8695721630027,D3 High Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,16 - 30 min,,
75,76,1,1083.3228396445197,1128.6557280166296,Goal OPP,1st Half,,,,,,,True
76,77,1,1092.2373594960025,1110.5037506633355,D2 Finding Balance,1st Half,,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,16 - 30 min,,
77,78,1,1095.8358277460027,1115.8015408300023,D4 Defending the Box,1st Half,,1v1,"Cross, Shot, Set-Piece or Box Entry",Neutral,16 - 30 min,Transition,
78,79,1,1110.0679595800027,1129.9031160800025,D4 Defending the Box,1st Half,,Cutback,Open Chance,Unsuccessful,16 - 30 min,Transition,
79,80,1,1117.2347080380025,1125.1721533296688,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,D4 Chance,Unsuccessful,16 - 30 min,,
80,81,1,1156.2262963503483,1177.5167323980002,Ndividual,,,,,,,,True
81,82,1,1175.237147746336,1200.3035064133362,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Progress to Next Phase,Successful,16 - 30 min,,
82,83,1,1181.2059151210021,1214.6703060376692,O3 Break Through,1st Half,O3 Break Through,1v1 Wide / Halfspace,"Cross, Shot, Set-Piece or Box Entry",Successful,16 - 30 min,Established Play,
83,84,1,1195.4373860796693,1218.301785121669,O4 Finishing,1st Half,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,16 - 30 min,Established Play,
84,85,1,1222.2393714963357,1245.8043322050023,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,Direct to O3/O4 OFF Transit,Successful,16 - 30 min,,
85,86,1,1226.7035747466691,1250.0354115380026,O3 Break Through,1st Half,O3 Break Through,D3 High Press on Opp. Half,Keep The Ball,Neutral,16 - 30 min,Transition,
86,87,1,1247.8037767466687,1274.804198704336,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,16 - 30 min,,
87,88,1,1258.489527334,1278.489527334,Ndividual,,,,,,,,True
88,89,1,1273.1391372050023,1286.8373357050025,D3 High Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,16 - 30 min,,
89,90,1,1284.6707765796689,1311.073315412669,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,Stay In Phase,Neutral,16 - 30 min,,
90,91,1,1308.8385044963354,1317.739869038002,D3 High Pressing,1st Half,,D3 From Low/Med to High,"Intercept. -> Estab. (O1, O2, O3)",Successful,16 - 30 min,,True
91,92,1,1315.9045737460026,1344.5380141213357,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Progress to Next Phase,Successful,16 - 30 min,,
92,93,1,1325.5046685383356,1354.6716480380026,O3 Break Through,1st Half,O3 Break Through,Central Play Infront of Backline,Ball Loss --> D3 Press,Unsuccessful,16 - 30 min,Established Play,
93,94,1,1345.740214871336,1358.704736913003,D1 Counterpress,1st Half,,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,16 - 30 min,,
94,95,1,1354.1383152050028,1406.705148412669,O3 Break Through,1st Half,O3 Break Through,Central Play Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Successful,16 - 30 min,Established Play,
95,96,1,1356.604519704669,1373.5040825796693,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,16 - 30 min,,
96,97,1,1373.6032853704057,1410.8734958713362,O4 Finishing,1st Half,O4 Finishing,Through Pass,Intercepted by Defence,Unsuccessful,16 - 30 min,Established Play,
97,98,1,1409.5381350380023,1416.1386744966692,D3 High Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,16 - 30 min,,
98,99,1,1414.1072341626689,1444.2044899130026,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,16 - 30 min,,
99,100,1,1429.1741037043355,1456.6387554126693,D4 Defending the Box,1st Half,,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,16 - 30 min,Established Play,
100,101,1,1455.5739869130023,1536.2062527046694,D4 Defending the Box,1st Half,,Front Area,Chance,Unsuccessful,16 - 30 min,Corner Kick,
101,102,1,1503.4713925800027,1534.8727554963364,def corner,1st Half,,,,,,,
102,103,1,1535.2082172876692,1569.305830538002,O3 Break Through,1st Half,O3 Break Through,After D4 Def. Box,"Cross, Shot, Set-Piece or Box Entry",Successful,16 - 30 min,Transition,True
103,104,1,1542.6372250376692,1553.6058692050021,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Direct to O3/O4 OFF Transit,Successful,16 - 30 min,,
104,105,1,1550.2728249130025,1573.8057917460021,O4 Finishing,1st Half,O4 Finishing,Through Pass,Intercepted by Defence,Unsuccessful,16 - 30 min,Transition,
105,106,1,1564.638791413002,1576.239013787669,D1 Counterpress,1st Half,,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,16 - 30 min,,
106,107,1,1574.841036455002,1618.208024496669,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,16 - 30 min,,
107,108,1,1591.2822406851344,1643.9933333333329,Bench,,,,,,,,True
108,109,1,1599.0412142463354,1626.8051678293357,O3 Break Through,1st Half,O3 Break Through,Wide Link Up Play,"Cross, Shot, Set-Piece or Box Entry",Successful,16 - 30 min,Established Play,
109,110,1,1599.3599515347128,1640.9484016441518,O4 Finishing,1st Half,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,16 - 30 min,Established Play,
110,111,1,1622.4403129133354,1634.2386924966693,D1 Counterpress,1st Half,,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,16 - 30 min,,
111,112,1,1632.2751491630022,1648.038782162669,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,16 - 30 min,,
112,113,1,1652.142056871003,1670.272794579669,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,16 - 30 min,,
113,114,1,1676.0400813293356,1695.0063050383358,D3 Middle / Lower Pressing,1st Half,,D3 Goal Kick or Free Kick,"Intercept. -> Estab. (O1, O2, O3)",Successful,16 - 30 min,,
114,115,1,1694.0072435376694,1712.7751830793356,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,16 - 30 min,,
115,116,1,1718.4402257466688,1750.3390324966692,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,16 - 30 min,,
116,117,1,1741.539960454336,1759.1094166213359,D2 Finding Balance,1st Half,,D3 High Press on Opp. Half,Establishing Pressing,Neutral,16 - 30 min,,
117,118,1,1757.0746958713355,1802.7068631630025,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,"Intercept. -> Estab. (O1, O2, O3)",Successful,16 - 30 min,,
118,119,1,1797.7025958016802,1815.4074099133354,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,31 - 45 min,,True
119,120,1,1826.3078849550018,1847.209777537669,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Stay In Phase,Neutral,31 - 45 min,,
120,121,1,1845.3404740380022,1871.5081429966697,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,31 - 45 min,,
121,122,1,1862.706891621335,1885.007833121669,D2 Finding Balance,1st Half,,After Ball Loss,Establishing Pressing,Neutral,31 - 45 min,,
122,123,1,1976.0768563710023,2005.0088675383352,D4 Defending the Box,1st Half,,Back Area,"Cross, Shot, Set-Piece or Box Entry",Neutral,31 - 45 min,Lateral Free Kick,
123,124,1,1990.8761953293358,2001.8761953293358,def free kick,1st Half,,,,,,,
124,125,1,2002.9754603296694,2032.9775515376698,O1 Play from the Back,1st Half,O1 Play from the Back,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,31 - 45 min,,
125,126,1,2030.608496037669,2045.5424849130025,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,31 - 45 min,,
126,127,1,2031.8971016455766,2067.0952203749994,Bench,,,,,,,,True
127,128,1,2034.175921996003,2063.1111680800022,O3 Break Through,1st Half,O3 Break Through,Transition After CP,Lead to O4 chance,Successful,31 - 45 min,Transition,
128,129,1,2037.9101170383362,2053.2776462046686,D1 Counterpress,1st Half,,After O2 build-up,Direct to O3/O4 OFF Transit,Successful,31 - 45 min,,
129,130,1,2043.875690871336,2067.9088073710027,O4 Finishing,1st Half,O4 Finishing,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,31 - 45 min,Transition,
130,131,1,2055.2777866210026,2105.5422600796696,O4 Finishing,1st Half,O4 Finishing,Front Area,"Cross, Shot, Set-Piece or Box Entry",Neutral,31 - 45 min,Corner Kick,
131,132,1,2086.509171662669,2103.509171662669,off corner,1st Half,,,,,,,
132,133,1,2099.2680169496693,2161.516666666667,Bench,,,,,,,,True
133,134,1,2103.809214412669,2140.3899991578273,D3 High Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,31 - 45 min,,True
134,135,1,2137.3436255380025,2160.342117704336,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,"Intercept. -> Estab. (O1, O2, O3)",Successful,31 - 45 min,,
135,136,1,2158.811099912669,2185.8451572050026,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Stay In Phase,Neutral,31 - 45 min,,
136,137,1,2189.8757579133357,2218.676032830003,O3 Break Through,1st Half,O3 Break Through,,"Cross, Shot, Set-Piece or Box Entry",Successful,31 - 45 min,Throw In,
137,138,1,2191.5750114960015,2203.178727413002,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Stay In Phase,Neutral,31 - 45 min,,
138,139,1,2209.509377663003,2254.1103701630027,O4 Finishing,1st Half,O4 Finishing,Front Area,"Cross, Shot, Set-Piece or Box Entry",Neutral,31 - 45 min,Corner Kick,
139,140,1,2210.4066666666668,2221.4066666666668,off throw,,,,,,,,
140,141,1,2233.111069954335,2250.111069954335,off corner,1st Half,,,,,,,
141,142,1,2254.578639413002,2280.4124532880023,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Progress to Next Phase,Successful,31 - 45 min,,
142,143,1,2261.3768101213354,2284.044564287669,O3 Break Through,1st Half,O3 Break Through,Wide Link Up Play,"Cross, Shot, Set-Piece or Box Entry",Successful,31 - 45 min,Established Play,
143,144,1,2275.7792038710018,2353.810608371669,O4 Finishing,1st Half,O4 Finishing,Short Variation,Intercepted by Defence,Unsuccessful,31 - 45 min,Corner Kick,
144,145,1,2298.376510996336,2315.376510996336,off corner,1st Half,,,,,,,
145,146,1,2356.2433024546685,2379.6448968716686,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,31 - 45 min,,
146,147,1,2374.510935205003,2386.6775530800023,D2 Finding Balance,1st Half,,D3 High Press on Opp. Half,Establishing Pressing,Neutral,31 - 45 min,,
147,148,1,2384.7797341213354,2409.043741121002,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Direct to O3/O4 OFF Transit,Successful,31 - 45 min,,
148,149,1,2389.8777683293347,2412.610651621336,O3 Break Through,1st Half,O3 Break Through,D3 Win Ball Low/Middle,Ball Loss --> D3 Press,Unsuccessful,31 - 45 min,Transition,
149,150,1,2411.3449541626683,2441.644502579669,D3 High Pressing,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,31 - 45 min,,
150,151,1,2439.811441079669,2453.977401121336,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Stay In Phase,Neutral,31 - 45 min,,
151,152,1,2452.042646204335,2504.2711368432892,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Progress to Next Phase,Successful,31 - 45 min,,True
152,153,1,2476.5782368713353,2504.611004163336,O3 Break Through,1st Half,O3 Break Through,Central Play Infront of Backline,Ball Loss --> D3 Press,Unsuccessful,31 - 45 min,Established Play,
153,154,1,2523.847348455002,2536.012594246002,D3 High Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,31 - 45 min,,True
154,155,1,2527.811702287669,2543.8433680800026,D2 Finding Balance,1st Half,,D3 High Press on Opp. Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,31 - 45 min,,
155,156,1,2542.378786662668,2555.8774282880026,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Stay In Phase,Neutral,31 - 45 min,,
156,157,1,2553.5787781630024,2573.0808643293353,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,31 - 45 min,,
157,158,1,2588.1392304966694,2612.8774833293355,D3 High Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,31 - 45 min,,
158,159,1,2615.0802493300025,2659.747958371003,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,31 - 45 min,,
159,160,1,2622.871650251,2642.871650251,Ndividual,,,,,,,,True
160,161,1,2657.6457860800024,2671.3474044963355,D3 High Pressing,1st Half,,D3 From Low/Med to High,Stay In Phase,Neutral,31 - 45 min,,
161,162,1,2662.245562663336,2676.0126201216685,D2 Finding Balance,1st Half,,D3 High Press on Opp. Half,Establishing Pressing,Neutral,31 - 45 min,,
162,163,1,2673.9128839543355,2689.8814432883355,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,"Intercept. -> Estab. (O1, O2, O3)",Successful,31 - 45 min,,
