,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,00. Start Phase,02. Situation Type,04. Rating,03. Outcomes,Time Period,01. Phase,<flag>New Flag
0,1,1,0.0,2768.154049383063,KO,1st Half,Horsens,,,,,,,
1,2,1,2.221810113195289,12.323217869114018,O2 Build Up,1st Half,Horsens,O2 Build Up,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,
2,3,1,3.263292901780517,17.326086291780427,D1 Counterpress,1st Half,Horsens,,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
3,4,1,13.609872048113857,51.23439325244709,O2 Build Up,1st Half,Horsens,O2 Build Up,O2 Free Kick,Successful,Progress to Next Phase,0 - 15 min,,
4,5,1,32.15882130711384,59.91870414311376,O3 Break Through,1st Half,Horsens,O3 Break Through,Central Play Infront of Backline,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,
5,6,1,35.2161469174424,93.71390247695098,Ndividual,,Horsens,,,,,,,True
6,7,1,40.76093777744711,65.94415584744729,O4 Finishing,1st Half,Horsens,O4 Finishing,Chipball,Unsuccessful,Intercepted by Defence,0 - 15 min,Established Play,
7,8,1,52.0495999255029,95.40460596930268,Bench,,Horsens,,,,,,,True
8,9,1,52.52695746855346,79.20226810411393,D2 Finding Balance,1st Half,Horsens,,After Ball Loss,Neutral,Establishing Pressing,0 - 15 min,,True
9,10,1,76.9128872794472,100.14029633678047,D4 Defending the Box,1st Half,Horsens,,Square Pass,Successful,Intercepted by Defence,0 - 15 min,Established Play,
10,11,1,78.38517744178057,91.6291773037807,D3 Middle / Lower Pressing,1st Half,Horsens,,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,
11,12,1,96.11290449378043,116.58941530411403,O2 Build Up,1st Half,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,0 - 15 min,,
12,13,1,97.43127840744711,121.17575373011391,O3 Break Through,1st Half,Horsens,O3 Break Through,Central Play Infront of Backline,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,
13,14,1,102.00974252644716,125.59815225344715,O4 Finishing,1st Half,Horsens,O4 Finishing,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,
14,15,1,102.32171111111111,122.32171111111111,Ndividual,,Horsens,,,,,,,True
15,16,1,135.2549978654472,167.0803305871139,D3 Middle / Lower Pressing,1st Half,Horsens,,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,
16,17,1,161.34860045819127,202.18635555555556,Bench,,Horsens,,,,,,,True
17,18,1,171.1103229017806,196.5296381347806,D4 Defending the Box,,Horsens,,Quick Restart,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Lateral Free Kick,
18,19,1,181.55267400411378,192.55267400411378,def free kick,,Horsens,,Quick Restart,,,,Lateral Free Kick,
19,20,1,188.8196747994474,204.61536067444683,D1 Counterpress,,Horsens,,Transition on Transition,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,
20,21,1,197.7897334897802,225.87786361611415,D4 Defending the Box,,Horsens,,Short Throw-In,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Throw In,
21,22,1,203.27626066068655,228.70636666666664,Ndividual,,Horsens,,,,,,,
22,23,1,209.78580954178057,220.78580954178057,def throw,,Horsens,,Short Throw-In,,,,Throw In,
23,24,1,228.72994240244736,256.1346150544474,D4 Defending the Box,,Horsens,,Back Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Corner Kick,
24,25,1,245.069097239114,256.069097239114,def corner,,Horsens,,Back Area,,,,,
25,26,1,254.29347657144717,285.3335306217803,D3 Middle / Lower Pressing,,Horsens,,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,
26,27,1,270.70735763844704,293.3782790141141,D4 Defending the Box,,Horsens,,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,
27,28,1,291.37945357511364,310.79778497078087,O1 Play from the Back,,Horsens,O1 Play from the Back,O1 Goal Kick or Free Kick,Successful,Progress to Next Phase,0 - 15 min,,
28,29,1,306.9994511281137,327.3895569804469,O2 Build Up,,Horsens,O2 Build Up,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,
29,30,1,319.82598115378016,332.1640685871139,D1 Counterpress,,Horsens,,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
30,31,1,328.194401241114,364.62647892244684,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,
31,32,1,369.63253156344706,392.45333763978044,D3 High Pressing,,Horsens,,D3 Press on Throw-In,Neutral,Stay In Phase,0 - 15 min,,
32,33,1,373.4160111111111,393.4160111111111,Ndividual,,Horsens,,,,,,,True
33,34,1,392.2087558567806,406.66136965611406,D3 Middle / Lower Pressing,,Horsens,,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
34,35,1,392.702844788114,422.0042685817807,O4 Finishing,,Horsens,O4 Finishing,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,
35,36,1,401.24211970570536,445.82156666666657,Bench,,Horsens,,,,,,,True
36,37,1,402.84671494078054,411.2970403747805,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to O4,0 - 15 min,,
37,38,1,417.84347050616395,439.0383025646795,D3 High Pressing,,Horsens,,After Ball Loss,Unsuccessful,D4 Chance,0 - 15 min,,
38,39,1,426.8124139964473,449.0912250487804,D4 Defending the Box,,Horsens,,Through Pass,Unsuccessful,Chance,0 - 15 min,Established Play,
39,40,1,429.03830000000005,441.6776480226154,D2 Finding Balance,,Horsens,,D3 High Press on Opp. Half,Unsuccessful,D4 Chance,,,
40,41,1,447.6865479314474,460.3813879661136,D3 Middle / Lower Pressing,,Horsens,,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
41,42,1,449.0233993574475,474.4110220764469,O3 Break Through,,Horsens,O3 Break Through,1v1 Wide / Halfspace,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Established Play,
42,43,1,456.5178518181134,468.2625599417803,O2 Build Up,,Horsens,O2 Build Up,O2 Throw-In,Successful,Progress to Next Phase,0 - 15 min,,
43,44,1,467.7381385914475,480.75463675211404,D1 Counterpress,,Horsens,,After O3/O4,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
44,45,1,467.9847256531135,494.5375362287808,O3 Break Through,,Horsens,O3 Break Through,Short Throw-In,Neutral,Keep The Ball,0 - 15 min,Throw In,
45,46,1,490.34709337244715,523.0954206847806,O2 Build Up,,Horsens,O2 Build Up,O3 to O2,Successful,Progress to Next Phase,0 - 15 min,,
46,47,1,498.8398555555556,528.8398555555556,Bench,,Horsens,,,,,,,True
47,48,1,501.23361111111114,521.2336111111111,Ndividual,,Horsens,,,,,,,True
48,49,1,504.4693235264473,531.2964359614473,O3 Break Through,,Horsens,O3 Break Through,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,
49,50,1,512.2609380644471,536.8477319564474,O4 Finishing,,Horsens,O4 Finishing,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,True
50,51,1,533.6482950011138,568.5710492197808,O4 Finishing,,Horsens,O4 Finishing,Front Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Corner Kick,
51,52,1,556.5196820457804,567.5196820457804,off corner,,Horsens,,Front Area,,,,,
52,53,1,564.4096160331139,602.6664797521141,O2 Build Up,,Horsens,O2 Build Up,O3 to O2,Successful,Progress to Next Phase,0 - 15 min,,
53,54,1,583.5003473827803,611.9695858511138,O3 Break Through,,Horsens,O3 Break Through,Early Through Pass or Cross,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Established Play,
54,55,1,614.4883679654472,636.3902128867805,D3 High Pressing,,Horsens,,D3 Press on Throw-In,Neutral,Stay In Phase,0 - 15 min,,
55,56,1,635.920299203447,660.0753646807802,D3 Middle / Lower Pressing,,Horsens,,D3 From High to Med/Low,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
56,57,1,656.5840719527804,678.0640313214471,O2 Build Up,,Horsens,O2 Build Up,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,
57,58,1,670.965,703.937998189586,Bench,,Horsens,,,,,,,True
58,59,1,683.2669982517806,693.1530479197801,D3 Middle / Lower Pressing,,Horsens,,After Ball Loss,Neutral,Stay In Phase,0 - 15 min,,
59,60,1,683.9179138101139,705.1750095497803,D4 Defending the Box,,Horsens,,Through Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,
60,61,1,684.3710527034474,698.2824263927807,D2 Finding Balance,,Horsens,,D3 High Press on Opp. Half,Unsuccessful,D4 Chance,0 - 15 min,,
61,62,1,701.4174587207806,723.7005877401139,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,0 - 15 min,,
62,63,1,704.9931739981139,729.6933268534472,O3 Break Through,,Horsens,O3 Break Through,Central Play Infront of Backline,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Established Play,
63,64,1,722.0313863644475,736.4582907377804,D1 Counterpress,,Horsens,,After O3/O4,Neutral,Establishing Pressing,0 - 15 min,,
64,65,1,731.40336924521,775.1689555555554,Bench,,Horsens,,,,,,,True
65,66,1,734.938556869447,752.5416882927808,D3 High Pressing,,Horsens,,After Ball Loss,Neutral,Stay In Phase,0 - 15 min,,
66,67,1,750.350847633447,767.5323882587803,D3 Middle / Lower Pressing,,Horsens,,D3 From High to Med/Low,Unsuccessful,D4 Chance,0 - 15 min,,
67,68,1,752.3258349161141,776.5542820387808,D4 Defending the Box,,Horsens,,Square Pass,Unsuccessful,Chance,0 - 15 min,Established Play,
68,69,1,763.3970706249991,774.3970706249991,off corner,,Horsens,,,,,,,
69,70,1,776.942086612447,808.5637304681136,O2 Build Up,,Horsens,O2 Build Up,O1 to O2,Successful,Progress to Next Phase,0 - 15 min,,
70,71,1,789.3645084847808,819.5191405891139,O3 Break Through,,Horsens,O3 Break Through,Wide Link Up Play,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Established Play,
71,72,1,812.2185476894472,827.1232505817807,D2 Finding Balance,,Horsens,,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
72,73,1,822.9898057554473,849.0508324467805,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,0 - 15 min,,
73,74,1,830.3344516801135,854.3644391107806,O3 Break Through,,Horsens,O3 Break Through,Early Through Pass or Cross,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Established Play,
74,75,1,835.75458041078,859.2985672681137,O4 Finishing,,Horsens,O4 Finishing,Through Pass,Unsuccessful,Intercepted by Defence,0 - 15 min,Established Play,
75,76,1,858.8655122777808,868.6316872647805,D3 High Pressing,,Horsens,,After Ball Loss,Neutral,Stay In Phase,0 - 15 min,,
76,77,1,866.4085302491136,893.284801795114,D3 Middle / Lower Pressing,,Horsens,,D3 From High to Med/Low,Neutral,Stay In Phase,0 - 15 min,,
77,78,1,883.3991333333333,907.2981184439967,O3 Break Through,,Horsens,O3 Break Through,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Transition,
78,79,1,901.6947214204473,919.9834660311141,D2 Finding Balance,,Horsens,,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,,
79,80,1,905.9705798631136,927.832073012447,D4 Defending the Box,,Horsens,,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Transition,
80,81,1,915.0045984977806,948.982736666114,D4 Defending the Box,,Horsens,,Short Throw-In,Successful,Intercepted by Defence,16 - 30 min,Throw In,
81,82,1,934.6491689077803,945.6491689077803,def throw,,Horsens,,Short Throw-In,,,,,
82,83,1,950.6156018127805,973.8502654377802,O2 Build Up,,Horsens,O2 Build Up,O2 Free Kick,Successful,Progress to Next Phase,16 - 30 min,,
83,84,1,954.9137409954468,979.3366722891143,O3 Break Through,,Horsens,O3 Break Through,Central Play Infront of Backline,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,Established Play,
84,85,1,970.5464116384472,992.9565552149799,D1 Counterpress,,Horsens,,After O3/O4,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,,True
85,86,1,977.2287716271138,997.9538478291137,D4 Defending the Box,,Horsens,,1v1,Successful,Intercepted by Defence,16 - 30 min,Transition,
86,87,1,993.918986940114,1015.0138766637807,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,16 - 30 min,,
87,88,1,995.7609958561137,1022.5638148711135,O3 Break Through,,Horsens,O3 Break Through,Wide Link Up Play,Neutral,Keep The Ball,16 - 30 min,Established Play,True
88,89,1,1018.2915054957801,1043.0232666617803,O2 Build Up,,Horsens,O2 Build Up,O3 to O2,Successful,Progress to Next Phase,16 - 30 min,,
89,90,1,1024.3394595374475,1049.4736828521138,O3 Break Through,,Horsens,O3 Break Through,Wide Link Up Play,Successful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,
90,91,1,1030.3404409851137,1054.81232226678,O4 Finishing,,Horsens,O4 Finishing,Chipball,Unsuccessful,Intercepted by Defence,16 - 30 min,Established Play,True
91,92,1,1045.5791274897806,1070.8690645327808,O3 Break Through,,Horsens,O3 Break Through,1v1 Wide / Halfspace,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,Established Play,
92,93,1,1046.3425,1066.3425,Ndividual,,Horsens,,,,,,,True
93,94,1,1055.8836936401135,1062.252098615447,D3 High Pressing,,Horsens,,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,
94,95,1,1062.2913085841137,1080.3671696927804,D2 Finding Balance,,Horsens,,After Ball Loss,Neutral,Establishing Pressing,16 - 30 min,,
95,96,1,1078.176955511114,1111.2743554367803,D3 Middle / Lower Pressing,,Horsens,,After Ball Loss,Neutral,Stay In Phase,16 - 30 min,,
96,97,1,1102.5656627837118,1143.357977777778,Bench,,Horsens,,,,,,,True
97,98,1,1109.5747345391137,1131.65589269078,D3 High Pressing,,Horsens,,D3 From Low/Med to High,Successful,Direct to O3/O4 OFF Transit,16 - 30 min,,
98,99,1,1113.045435732447,1149.5286074057803,O3 Break Through,,Horsens,O3 Break Through,D3 High Press on Opp. Half,Neutral,Keep The Ball,16 - 30 min,Transition,True
99,100,1,1145.452450335114,1187.3464901817804,O2 Build Up,,Horsens,O2 Build Up,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,,
100,101,1,1165.744611111111,1195.744611111111,Bench,,Horsens,,,,,,,True
101,102,1,1168.6971953059997,1195.297801125,O4 Finishing,,Horsens,O4 Finishing,Chipball,Unsuccessful,DEF Transition,16 - 30 min,Established Play,True
102,103,1,1171.2366666666667,1191.2366666666667,Ndividual,,Horsens,,,,,,,True
103,104,1,1175.744611111111,1195.744611111111,Ndividual,,Horsens,,,,,,,
104,105,1,1181.6966666666667,1192.6966666666667,off throw,,Horsens,,,,,,,
105,106,1,1181.8107062804474,1202.0645654664472,D2 Finding Balance,,Horsens,,After Ball Loss,Neutral,Establishing Pressing,16 - 30 min,,
106,107,1,1197.3694241334474,1217.7354240137804,D4 Defending the Box,,Horsens,,Through Pass,Unsuccessful,Intercepted by Defence,16 - 30 min,Established Play,
107,108,1,1199.775659181114,1211.1617803467807,D3 Middle / Lower Pressing,,Horsens,,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,,
108,109,1,1228.5353856284473,1257.4562298817802,D4 Defending the Box,,Horsens,,Central Area,,,16 - 30 min,Corner Kick,
109,110,1,1247.0477759117807,1258.0477759117807,def corner,,Horsens,,Central Area,Unsuccessful,Chance,,,
110,111,1,1260.7902527274468,1303.0830612407804,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,16 - 30 min,,
111,112,1,1284.0228699581135,1316.2009771067803,O3 Break Through,,Horsens,O3 Break Through,Central Play Infront of Backline,Neutral,Keep The Ball,16 - 30 min,Established Play,True
112,113,1,1312.0021498714473,1326.8981965797805,O2 Build Up,,Horsens,O2 Build Up,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,,True
113,114,1,1341.4351276847806,1350.197132528114,D3 Middle / Lower Pressing,,Horsens,,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,
114,115,1,1346.390547978447,1399.810833947447,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,16 - 30 min,,
115,116,1,1381.0287688141138,1403.5957988714472,O3 Break Through,,Horsens,O3 Break Through,Wide Link Up Play,Successful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,
116,117,1,1384.2742172731141,1407.454880579114,O4 Finishing,,Horsens,O4 Finishing,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,
117,118,1,1406.5298452021314,1462.0297227454475,Goal OPP,,Horsens,,Established Play,,,,,True
118,119,1,1415.699799655447,1422.0273042754468,D3 High Pressing,,Horsens,,After Ball Loss,Neutral,Stay In Phase,16 - 30 min,,
119,120,1,1419.8688551257806,1451.3563962771136,D3 Middle / Lower Pressing,,Horsens,,D3 From High to Med/Low,Unsuccessful,D4 Chance,16 - 30 min,,
120,121,1,1436.3779442744471,1456.9401753071138,D4 Defending the Box,,Horsens,,Square Pass,Unsuccessful,Open Chance,16 - 30 min,Established Play,
121,122,1,1509.2794576394472,1571.605750884447,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,16 - 30 min,,
122,123,1,1552.442297813781,1579.056139114447,O3 Break Through,,Horsens,O3 Break Through,1v1 Wide / Halfspace,Successful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,
123,124,1,1559.988480083447,1583.2091690267805,O4 Finishing,,Horsens,O4 Finishing,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,True
124,125,1,1576.9078242431137,1603.244048691447,O3 Break Through,,Horsens,O3 Break Through,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,
125,126,1,1579.5579496574474,1596.0657198367805,O2 Build Up,,Horsens,O2 Build Up,O3 to O2,Successful,Progress to Next Phase,16 - 30 min,,
126,127,1,1583.9803646827804,1607.6999114244468,O4 Finishing,,Horsens,O4 Finishing,Cutback,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,True
127,128,1,1614.808167204114,1650.8976221904472,O4 Finishing,,Horsens,O4 Finishing,Central Area,Unsuccessful,DEF Transition,16 - 30 min,Corner Kick,
128,129,1,1632.9779596181138,1643.9779596181138,off corner,,Horsens,,Central Area,,,,,
129,130,1,1648.0511336487803,1662.03323159578,D2 Finding Balance,,Horsens,,After Offensive Set-Piece,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,
130,131,1,1657.8956123617804,1694.0121827321143,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,16 - 30 min,,
131,132,1,1674.9439272424474,1700.7808846801142,O3 Break Through,,Horsens,O3 Break Through,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,
132,133,1,1680.7423222222221,1710.7423222222221,Bench,,Horsens,,,,,,,True
133,134,1,1681.5492773517803,1704.4602508354471,O4 Finishing,,Horsens,O4 Finishing,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,Established Play,
134,135,1,1713.3507759457807,1724.3620657367806,D3 High Pressing,,Horsens,,After Ball Loss,Neutral,Stay In Phase,16 - 30 min,,
135,136,1,1716.4498888888888,1746.4498888888888,Bench,,Horsens,,,,,,,True
136,137,1,1724.3534124281136,1741.0602395067806,D3 Middle / Lower Pressing,,Horsens,,D3 Press on Throw-In,Neutral,Stay In Phase,16 - 30 min,,
137,138,1,1732.2457475774472,1749.6041307984472,D2 Finding Balance,,Horsens,,D3 High Press on Opp. Half,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,,
138,139,1,1734.3965305754468,1753.1846901191134,D4 Defending the Box,,Horsens,,Chipball,Successful,Intercepted by Defence,16 - 30 min,Established Play,
139,140,1,1749.0837533687804,1805.8115839271138,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Neutral,Stay In Phase,16 - 30 min,,
140,141,1,1796.7684438631136,1809.261759785114,D1 Counterpress,,Horsens,,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,
141,142,1,1806.9277523184473,1831.2280613441137,O3 Break Through,,Horsens,O3 Break Through,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,
142,143,1,1807.0005864291138,1825.9708443327806,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,31 - 45 min,,
143,144,1,1812.217716175447,1840.7125410367805,O4 Finishing,,Horsens,O4 Finishing,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,True
144,145,1,1837.2894692357804,1849.4966078827804,D2 Finding Balance,,Horsens,,After Ball Loss,Neutral,Establishing Pressing,31 - 45 min,,
145,146,1,1862.613456929114,1896.0665339737805,D3 Middle / Lower Pressing,,Horsens,,D3 Press on Throw-In,Neutral,Stay In Phase,31 - 45 min,,True
146,147,1,1893.892168555114,1900.6861467574467,D3 High Pressing,,Horsens,,D3 From Low/Med to High,Neutral,Stay In Phase,31 - 45 min,,
147,148,1,1898.731750307114,1916.6810474511135,D3 Middle / Lower Pressing,,Horsens,,D3 From High to Med/Low,Neutral,Stay In Phase,31 - 45 min,,
148,149,1,1901.245411111111,1921.245411111111,Ndividual,,Horsens,,,,,,,True
149,150,1,1925.4612932047798,1940.5109705917798,D3 Middle / Lower Pressing,,Horsens,,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",31 - 45 min,,
150,151,1,1936.5779805504471,1952.92573259878,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Neutral,Stay In Phase,31 - 45 min,,
151,152,1,1964.1531422241133,2004.4884824887808,O2 Build Up,,Horsens,O2 Build Up,O2 Free Kick,Successful,Progress to Next Phase,31 - 45 min,,
152,153,1,1985.2646462814473,2009.6057049791139,O3 Break Through,,Horsens,O3 Break Through,Central Play Infront of Backline,Successful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,
153,154,1,1990.3253739577804,2013.8818680984473,O4 Finishing,,Horsens,O4 Finishing,Square Pass,Unsuccessful,Intercepted by Defence,31 - 45 min,Established Play,
154,155,1,2009.3384706271136,2024.9877820007805,D2 Finding Balance,,Horsens,,After Ball Loss,Neutral,Establishing Pressing,31 - 45 min,,
155,156,1,2025.1107727051135,2062.9344681991133,D3 Middle / Lower Pressing,,Horsens,,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,31 - 45 min,,
156,157,1,2126.3734468824473,2159.529377339447,O3 Break Through,,Horsens,O3 Break Through,Wide Link Up Play,Successful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,
157,158,1,2128.3834958121142,2145.4379478871138,O2 Build Up,,Horsens,O2 Build Up,O2 Free Kick,Successful,Progress to Next Phase,31 - 45 min,,
158,159,1,2140.9361641104474,2171.520366699114,O4 Finishing,,Horsens,O4 Finishing,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,
159,160,1,2168.0490254427805,2195.325130778114,O3 Break Through,,Horsens,O3 Break Through,Early Through Pass or Cross,Successful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,
160,161,1,2170.297887792114,2186.4873015521134,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,31 - 45 min,,
161,162,1,2176.158654324781,2199.3308212521138,O4 Finishing,,Horsens,O4 Finishing,Square Pass,Unsuccessful,Intercepted by Defence,31 - 45 min,Established Play,
162,163,1,2208.21125692778,2232.2417120971136,O3 Break Through,,Horsens,O3 Break Through,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,Transition,
163,164,1,2209.178484637114,2226.6494233291137,D3 Middle / Lower Pressing,,Horsens,,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,31 - 45 min,,True
164,165,1,2229.490289625114,2262.973736352114,O2 Build Up,,Horsens,O2 Build Up,O2 Free Kick,Successful,Progress to Next Phase,31 - 45 min,,
165,166,1,2244.05283103978,2276.432820725114,O3 Break Through,,Horsens,O3 Break Through,Central Play Infront of Backline,Successful,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,
166,167,1,2257.218923405781,2280.1535598424466,O4 Finishing,,Horsens,O4 Finishing,Chipball,Unsuccessful,Intercepted by Defence,31 - 45 min,Established Play,
167,168,1,2279.720965345113,2322.2090649977804,D3 Middle / Lower Pressing,,Horsens,,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",31 - 45 min,,
168,169,1,2318.460524342781,2364.5283043504473,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to O4,31 - 45 min,,
169,170,1,2345.2888064714466,2367.978287807447,O4 Finishing,,Horsens,O4 Finishing,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",31 - 45 min,Established Play,
170,171,1,2366.94896108478,2383.4282848451135,D3 High Pressing,,Horsens,,After Ball Loss,Neutral,Stay In Phase,31 - 45 min,,
171,172,1,2411.7052823407807,2439.106639572447,D3 Middle / Lower Pressing,,Horsens,,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,31 - 45 min,,
172,173,1,2420.6768363564474,2448.4019857414464,O3 Break Through,,Horsens,O3 Break Through,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,Transition,
173,174,1,2438.595566666667,2458.595566666667,Ndividual,,Horsens,,,,,,,True
174,175,1,2447.9385111327806,2471.9932804684463,O2 Build Up,,Horsens,O2 Build Up,O2 Throw-In,Successful,Progress to Next Phase,31 - 45 min,,
175,176,1,2452.761881167113,2482.4368687127803,O3 Break Through,,Horsens,O3 Break Through,Wide Link Up Play,Neutral,Keep The Ball,31 - 45 min,Established Play,
176,177,1,2478.23794961478,2505.5842859254467,O2 Build Up,,Horsens,O2 Build Up,O3 to O2,Successful,Progress to Next Phase,31 - 45 min,,
177,178,1,2486.377566503447,2510.1867783791135,O3 Break Through,,Horsens,O3 Break Through,1v1 Wide / Halfspace,Unsuccessful,Ball Loss --> D3 Press,31 - 45 min,Established Play,
178,179,1,2502.058897094114,2514.462379574113,D1 Counterpress,,Horsens,,After O3/O4,Successful,"Intercept. -> Estab. (O1, O2, O3)",31 - 45 min,,
179,180,1,2510.223123574781,2535.991382667113,O2 Build Up,,Horsens,O2 Build Up,O2 After Regain,Successful,Progress to Next Phase,31 - 45 min,,
180,181,1,2516.956377771447,2544.42637825078,O3 Break Through,,Horsens,O3 Break Through,Central Play Infront of Backline,Neutral,Keep The Ball,31 - 45 min,Established Play,True
